,city,country,lat,lng,max temp,humidity,cloudiness,wind,description
146,,,-4.25215916876833,-25.00549510504021,300.07,78,44,8.54,scattered clouds
147,Westhampton Beach,US,40.074275037204586,-72.41155342146482,282.26,54,1,9.42,clear sky
148,,,-79.73581578022801,-77.54566028880589,268.67,97,100,8.12,snow
149,,,23.72302307855405,-29.151201661520666,295.35,63,49,8.87,scattered clouds
150,,,88.8153257421483,16.36118638826025,244.7,100,68,4.28,broken clouds
151,Vágur,FO,61.39710157529029,-5.10994381165591,281.15,94,100,14.37,overcast clouds
152,Erebango,BR,-27.932482767566995,-52.34892607423719,293.82,64,21,1.94,few clouds
153,Gibara,CU,21.43853781406952,-75.93670061432934,300.52,72,26,9.64,scattered clouds
154,Elnesvågen,NO,63.172543428717745,6.777467606853548,276.18,69,100,5.07,overcast clouds
155,Ambam,CM,2.36272803099844,11.385036901592002,294.15,94,76,1.68,broken clouds
156,Quince Mil,PE,-12.40114284398635,-71.36370812917836,298.69,76,100,1.94,overcast clouds
157,,,-84.85170229924314,-69.85473610562764,260.18,78,100,0.65,overcast clouds
158,,,-63.55347656602982,31.609601151451585,269.06,89,100,2.74,overcast clouds
159,Woodstock,US,33.23024919730081,-87.1256062392164,281.29,62,0,1.64,clear sky
160,,,-37.858402061400724,-35.3251366824057,290.55,92,46,9.28,scattered clouds
161,,,85.75107276985798,69.81274453611942,241.34,100,84,2.22,broken clouds
162,,,-47.266813429862246,73.61660905548754,281.53,94,100,17.73,overcast clouds
163,,,84.42795775204578,-47.19693279964822,241.82,100,27,2.47,scattered clouds
164,,,-32.188186863688685,60.630189209537576,293.19,82,50,8.97,light rain
165,Kilmia,YE,12.721647179959092,52.667389048201784,298.37,63,0,9.81,clear sky
166,Hyllestad,NO,61.1696963088402,5.537029193261191,277.44,90,100,2.56,overcast clouds
167,,,-28.79744574313373,85.43167331794598,294.12,76,89,8.9,overcast clouds
168,,,-14.805231351986038,54.7389406225318,299.35,74,0,8.02,clear sky
169,,,6.150746039368343,67.10118047552609,300.57,73,86,4.91,overcast clouds
170,,,10.541078674113109,-88.26144467483606,299.69,76,48,10.98,scattered clouds
171,,,-89.94092629135498,-37.77867943890275,245.64,90,96,2.04,overcast clouds
172,,,-23.057787622285986,50.68865506354149,298.87,78,2,7.22,clear sky
173,,,-69.48070493179792,-88.24184831055568,271.06,81,100,5.93,overcast clouds
174,,,16.49232933638787,16.505757353465413,291.73,15,96,4.56,overcast clouds
175,,,36.610617354289175,-55.83284944809746,293.07,79,95,11.41,overcast clouds
176,,,-14.140236618080152,88.55238767593005,300.12,70,12,6.51,few clouds
177,,,-39.20590838351407,-0.9526206244294428,286.34,80,63,8.8,broken clouds
178,,,-40.577804366866,-59.77326146219571,291.08,69,96,6.2,overcast clouds
179,Yetkul',RU,54.79728276474512,61.72900156001603,264.16,76,15,3.59,few clouds
180,,,24.56910594558471,-61.04398050195863,298.83,73,0,8,clear sky
181,Havøysund,NO,70.89454541527348,24.37729823639819,274.66,88,100,4.01,overcast clouds
182,,,-38.982289183052984,-47.604188770293966,291.36,87,3,3.33,clear sky
183,Barwādih,IN,23.90434995973122,84.09188746248972,285.28,65,0,0.95,clear sky
184,Bāri,IN,26.60685391695432,77.43740395563609,285.2,53,87,1.22,overcast clouds
185,Pangnirtung,CA,65.62027505403796,-65.58707509874104,257.31,86,93,2.08,overcast clouds
186,,,81.04241946260316,-50.99487078730024,251.83,74,100,1.83,overcast clouds
187,,,-52.296438962761414,-52.950196015963066,281.14,96,100,13.18,overcast clouds
188,,,-79.08223150862617,0.2501717897108193,239.64,100,72,2.62,broken clouds
189,,,-8.404030054046615,56.07153675860525,300.11,78,88,6.43,light rain
190,,,74.47925868780521,62.95038500626123,261.94,96,64,5.89,broken clouds
191,,,29.254338081814765,-23.224411243600514,293.66,61,18,6.68,few clouds
192,Ranas,MX,19.452523870991357,-87.75044149992435,296.48,87,51,2.42,broken clouds
193,,,-89.82640190391581,-36.67449999576764,245.76,89,96,2.19,overcast clouds
194,Andranomena,MG,-23.466552135866166,43.855125950745986,296.97,92,54,1.54,broken clouds
195,Atak,RU,56.64200866093012,74.98795429566863,261.6,95,100,2.65,light snow
196,Al Jawf,SA,29.613102539028304,38.0964194812469,286.98,30,100,2.7,overcast clouds
197,,,68.38959189157549,-27.193804702829063,273.15,70,100,9.2,overcast clouds
198,Republic of Lithuania,LT,55.923161910436164,24.035836778069765,271.57,97,97,2.26,overcast clouds
199,,,-74.9529627751648,-21.435006632273712,258.82,98,86,1.99,overcast clouds
200,,,-63.110692649278775,54.86448151041995,271.33,89,100,15.38,overcast clouds
201,,,68.2090956390993,-32.259454592260056,273.12,64,100,5.79,overcast clouds
202,,,-22.51819218857119,-84.72079960720014,291.28,79,100,10.21,overcast clouds
203,,,-60.19275606960173,88.6652766515864,272.52,75,100,6.92,overcast clouds
204,,,-74.72821389384455,46.3127897586252,242.26,99,100,4.02,overcast clouds
205,Purovsk,RU,65.26370885580695,77.55105589073901,241.42,88,16,3.98,few clouds
206,Plaine Corail,MU,-20.295726982150327,62.40424062695385,298.33,72,49,8.61,scattered clouds
207,,,52.945492356267295,-26.769525766716292,279.7,60,100,11.48,overcast clouds
208,Churchill Falls,CA,53.140896158899494,-63.243361995624745,262.88,76,100,9.41,overcast clouds
209,,,79.20184722868876,-30.525060571560566,252.38,72,67,6.97,broken clouds
210,,,35.6182752834258,-41.13976186736728,290.77,59,40,4.21,scattered clouds
211,El Bayadh Province,DZ,31.507549745020142,1.381462852239892,279.93,56,0,3.37,clear sky
212,,,-74.06997671081584,-88.71163260728015,258.07,89,7,4.76,clear sky
213,Krasnosel'kup,RU,65.36116775226284,81.63490546205455,243.81,89,97,2.84,overcast clouds
214,,,-84.16650016218028,-45.91033877108813,255.7,85,100,4.44,overcast clouds
215,,,18.0590624396807,45.56088278163554,284.02,67,0,2.23,clear sky
216,Schefferville,CA,55.12148754623277,-65.77778473311938,261.68,90,100,9.37,overcast clouds
217,,,-47.48918141548078,-79.28753649986487,281.45,63,24,5.2,few clouds
218,,,86.43002618281116,72.26175044240068,246.05,97,98,1.37,overcast clouds
219,,,-5.487625597110565,-23.63288097316976,299.49,79,71,8.68,broken clouds
220,,,-20.22266371195198,84.4979121535292,297.61,90,100,11.22,light rain
221,,,89.70677530189101,46.417828357649796,244.99,100,100,4.54,overcast clouds
222,,,-70.85410237847425,13.615681729794318,260.72,61,3,5.26,clear sky
223,,,-65.74590551891531,20.94549253354225,269.64,90,100,5.01,overcast clouds
224,Ngouni Province,GA,-2.2895711457799592,10.872351719888215,295.98,99,100,0.88,light rain
225,El Porvenir,PA,10.41328507779265,-78.54012630077018,300.92,77,100,7.96,overcast clouds
226,,,-19.123759688397513,-22.364404086133476,296.4,71,100,6.83,overcast clouds
227,,,33.60119842205282,-14.20850753416309,290.33,77,100,1.97,overcast clouds
