City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Husavik,IS,2021-12-05 23:07:38,66.0449,-17.3389,39.79,73,100,27.47
202,Helena,US,2021-12-05 23:07:16,46.5927,-112.0361,28.17,65,75,3.0
203,Shimoda,JP,2021-12-05 23:04:59,34.6667,138.95,49.1,83,100,16.11
204,Bosconia,CO,2021-12-05 23:09:34,9.9689,-73.8836,83.19,61,82,4.94
205,Deputatskiy,RU,2021-12-05 23:05:38,69.3,139.9,-24.68,97,100,2.91
206,Nikolskoye,RU,2021-12-05 23:09:35,59.7035,30.7861,-0.6,97,8,4.56
207,Riyadh,SA,2021-12-05 23:07:17,24.6877,46.7219,55.54,35,4,2.89
208,San Ignacio,BZ,2021-12-05 23:07:09,17.1561,-89.0714,84.34,61,0,0.0
209,Abay,KZ,2021-12-05 23:09:35,49.6311,72.8539,32.38,92,100,5.95
210,Strezhevoy,RU,2021-12-05 23:09:35,60.7333,77.5889,-0.02,99,100,4.38
211,Norman Wells,CA,2021-12-05 23:09:36,65.282,-126.8329,-11.74,81,72,4.74
212,Richards Bay,ZA,2021-12-05 23:09:36,-28.783,32.0377,76.96,75,96,14.88
213,Zhigansk,RU,2021-12-05 23:09:36,66.7697,123.3711,-28.28,95,100,6.62
214,Chuy,UY,2021-12-05 23:05:09,-33.6971,-53.4616,65.3,82,98,7.87
215,Havre-Saint-Pierre,CA,2021-12-05 23:09:37,50.2334,-63.5986,24.55,54,75,13.2
216,Paamiut,GL,2021-12-05 23:09:13,61.994,-49.6678,25.16,68,100,13.98
217,Port Elizabeth,ZA,2021-12-05 23:09:37,-33.918,25.5701,65.1,100,90,20.71
218,Baependi,BR,2021-12-05 23:09:37,-21.9589,-44.89,64.87,88,18,3.02
219,Honiara,SB,2021-12-05 23:09:38,-9.4333,159.95,84.96,72,90,4.18
220,Cabo San Lucas,MX,2021-12-05 23:07:03,22.8909,-109.9124,81.52,58,75,2.3
221,Santa Isabel Do Rio Negro,BR,2021-12-05 23:09:38,-0.4139,-65.0192,75.42,95,95,2.39
